单词,词性和解释,频率,状态
denounce,vt. 公开指责，抨击；告发某人,低,
impact,n. 冲击，碰撞；效果；影响,高,
invariable,a. 始终如一的，不变的；恒定的,低,
tough,a. 棘手的，困难的；坚韧的；吃苦耐劳的；强健的,中,?
resort,"vi. 求助；诉诸；凭借
n. 胜地；常去之地；手段",高,?
depress,vt. 压抑；降低；削弱；使沮丧，使抑郁,中,
tense,"n. 时态
a. 拉紧的；紧张的",低,
bud,"n. 芽，花苞
vi. 发芽，萌芽",中,
cloak,"n. 外套，斗篷
vt. 掩盖，蒙蔽",中,
corridor,n. 走廊；狭长通道,低,
tropical,a. 热带的,低,
feast,n. 节日；宴会,低,
belly,n. 肚子，腹部,低,
vigorous,a. 有力的；朝气蓬勃的，精力旺盛的,中,x
despise,vt. 轻视，蔑视,低,
slap,n./vt. 拍，掌掴,低,
smash,v./n. 打碎，粉碎,低,
marital,a. 婚姻的；夫妻的,低,
verse,n. 韵文，诗；诗节，诗句,中,x
insulate,v. 隔离，孤立；使绝缘，使绝热,低,
glow,"vi. 发热，发光，发红
n. 光亮；光辉",中,
stationary,a. 静止的；固定的,中,
prompt,"a. 敏捷的；迅速的；即刻的
vt. 激起；促进，推动",高,?
retire,vi. 退休，引退；退却，撤退；就寝,高,
oath,n. 誓言，誓约；咒骂,低,
repression,n. 压制，压抑，镇压,低,
retain,vt. 保留；保持,高,
henceforth,ad. 今后,低,
peer,"n. 同龄人；同等地位的人；贵族
vi. 仔细看，费力地看",高,?
bargain,"n. 廉价货；交易；契约，合同
v. 议价；成交",高,?
probe,"n. 探针；探测器
v. 探查，穿刺；查究",中,
relish,n. 滋味；兴趣，爱好；调味品；美味,低,
harassment,n. 骚扰，扰乱；烦恼，烦乱,低,
cylinder,n. 圆筒，圆柱体；气缸,低,
versatile,a. 通用的，万用的；多才多艺的，多方面的,低,
consecutive,a. 连续不断的，连贯的,低,
contend,"vi. 竞争；斗争
vt. 坚决主张",高,?
blast,"n. 一阵（风），一股（气流）；爆炸冲击波；管乐声或汽笛声
v. 爆炸，爆破",低,
stretch,"vt. 拉长
vi. 延伸
n. 一段时间；一段距离（或路程）；（空间上的）延伸，连绵；连绵的一片",中,
obedient,a. 服从的，顺从的,中,
hound,"n. 猎犬
vt. 追逼；烦扰，纠缠",低,
flush,"v. 冲洗；使（水等）流；脸红
n. 脸红
a. 齐平的，同高的",低,
shrink,v. 起皱；收缩；退缩，畏缩,高,?
intensive,a. 加强的；集中的；深入细致的,中,?
kettle,n. 水壶,低,
nominal,a. 名义上的；（金额）微不足道的,低,
consultant,n. 会诊医生，顾问医生；顾问,中,
participate,vi. 参与，参加；分享，分担,高,
puff,"n. 一口（气），一阵（风）
vi. 喘气；喷气",低,
throne,n. 王位，君权,中,x
current,"n. 电流；水流；气流；潮流，趋势
a. 当前的，现在的；通用的，流行的",高,
outfit,n. 全套装备；全套工具,低,
crude,a. 天然的，未加工的；粗糙的；初步的，不成熟的；粗鲁的，粗野的,高,
wholly,ad. 完全地，全部，一概,中,
retrieve,vt. 重新得到，收回，取回；挽回（错误），补救；检索,中,
screw,"n. 螺旋，螺丝钉
vt. 拧，拧紧",中,?
parcel,"n. 包裹，邮包
v. 打包，捆扎",中,
rot,"v. （使）腐烂，（使）腐败，腐朽
n. 荒唐",中,?
tension,n. 张力；拉力；（精神上的）紧张,高,
bond,n. 结合（物），黏结（剂），联结；公债，债券；契约,中,x
dissipate,v. （使）驱散；浪费，挥霍,低,
composite,"n. 混合物，合成物
a. 合成的，复合的",低,
turbine,n. 汽轮机，透平机，涡轮机,低,
compose,"vt. 组成，构成
vi. 创作（音乐、文学作品等）",高,?
odo(u)r,n. 气味；名声,低,
boost,"vt. 鼓励，促进；为…做广告，宣扬
n. 推动，促进",高,
sly,a. 狡猾的；偷偷摸摸的,中,
lump,"n. 团，块
vi. 结块，起小疙瘩
vt. 把…归并在一起",中,?
dwelling,n. 住宅，寓所,中,
induce,vt. 引诱，劝使；引起，导致,中,?
rifle,n. 步枪,低,
swarm,"n. 群，蜂群
vi. 云集；充满",中,
installation,n. 安装，设置；设备；就职，就任,低,
dignity,n. （举止、态度等的）庄严，端庄；尊严，高贵,高,
lobby,n. 门廊，门厅；（会议）休息厅；游说,中,
cereal,n. 谷物；谷类食品,低,
endeavo(u)r,"vi. 努力，尽力；力图
n. 努力，尽力；力图；活动",高,
coalition,n. 结合体，同盟；结合，联合,低,
identity,n. 身份；个性，特性；同一（性）；相同，一致,中,?
instal(l)ment,n. 分期付款，分期交付；（连载的）一集；（分期付款的）一期,高,
ward,"n. 病房；行政区；受监护人
v. 保护，守卫",中,x
compatible,a. 能和睦相处的，合得来的；兼容的,中,
cement,"n. 水泥
vt. 黏合；巩固，加强",中,
account,"n. 账目，账户；叙述，说明
vi. 说明，解释；（在数量、比例方面）占；导致，引起",高,
suppress,vt. 镇压，压制；抑制，忍住；查禁，禁止发表,中,?
cohesive,a. 凝聚的；黏着的,低,
assumption,n. 假定，设想；（责任的）承担；担任；（权力的）获得,高,?
governor,n. 总督，州（省）长，地方长官,中,
hut,n. 小屋，棚屋,中,
cushion,n. 垫子，坐垫,低,
bowel,n. 肠；内部，深处,低,
haul,v. （用力）拖，拉,低,
magnitude,n. 大小，数量；巨大，广大；重要性，重要程度,高,?
pendulum,n. 摆；钟摆,低,
abound,vi. 富于，大量存在；充满,高,
retreat,vi./n. 撤退，退却,高,
thrust,"v. 刺，戳，插入
n. 推力；刺，戳，插入",低,
behave,vi. 举止，举动，表现；运转，开动,高,?
tan,"n. 黝黑
a. 棕褐色的
vi. 晒黑",低,
dip,"vt. 浸，蘸
n. 浸，蘸；洗澡",低,
bruise,"vt. 使…受挫伤；打青
n. 伤痕，擦痕，青肿",中,
alongside,"prep. 在…旁边，横靠；与…并肩；与…一起，与…同时
ad. 并排地，并肩地",高,
humiliate,vt. 使蒙羞，使丢脸,中,
clause,n. （正式文件或法律文件的）条款；从句，分局,低,
conspicuous,a. 显眼的；明显的,高,
protest,v./n. 抗议，反对,中,
straw,n. 稻草，麦秆；吸管,低,
strife,n. 冲突，斗争，纷争；竞争,低,
reconcile,vt. 使和好，调解，使调和；使一致,中,
diplomatic,a. 外交的，从事外交的；有策略的，有手腕的,中,
alleviate,vt. 减轻，缓解；缓和,中,
stuff,"n. 原料，材料；东西
vt. 填满，塞满",高,
empirical,a. 凭经验的，经验主义的,中,
restrain,vt. 抑制，制止；约束（自己）；控制（自己）；忍住,中,?
mistress,n. 女主人，主妇；情妇，情人,低,
sovereign,"n. 君主，元首；统治
a. 拥有最高统治权的，至高无上的；独立自主的，具有独立主权的",中,?
swing,"v. 摇摆，摇荡；回转，旋转
n. 秋千；摇摆，摆动",高,?
tame,"a. 驯服的，温顺的；沉闷的，乏味的
vt. 驯服，制服",中,?
heroic,a. 英雄的，英勇的,低,
gallop,vi./n. 奔驰，飞跑,低,
spine,n. 脊骨，脊柱，脊椎；（动植物的）刺，刺毛；书脊,低,
prophet,n. 先知，预言家,低,
illuminate,vt. 照亮，照明；阐明，说明,中,
poke,"vt. （用棍棒、手指灯）戳，捅，拨；露出；伸出；探出
n. 戳，捅，拨",中,
wholesome,a. 卫生的；健康的；有益健康的；有益的,低,
essay,n. 文章，短文,高,
incidentally,ad. 附带地，顺便提及,中,
immense,a. 广大的，巨大的,中,
tablet,n. 药片；碑，匾；平板,低,
thesis,n. 论文；论题；论点,高,
harbo(u)r,"n. 港口，海港；避难所，藏身处
vt. 庇护；收容；隐匿",高,?
thoughtful,a. 沉思的；体贴的；富有思想的，颇有创见的；深思熟虑的,高,?
patriotic,a. 爱国的,低,
breeze,n. 微风，和风,低,
dubious,a. 有问题的，靠不住的；无把握的；半信半疑的，可疑的；不能确定的,中,
presumably,ad. 推测起来，大概,高,?
integral,a. 构成整体所必需的；完整的,低,
slip,"vi. 滑，滑倒，滑落；溜走
n. 疏忽，小错，口误，笔误；纸片，纸条",高,?
emigrate,vi. 移居国外,高,
succession,n. 连续，系列；继任，继承,低,
radiate,v. 放射，辐射；散布，传播,中,?
influential,a. 有影响的，有权势的,高,
repetition,n. 重复，反复,低,
documentary,"a. 文献的
n. 纪录片",高,
charter,"v. 租船，租车
n. 宪章；契约；特许状，许可证",高,
govern,v. 统治，管理；支配；约束,高,
sheer,a. 纯粹的；十足的，全然的；陡峭的，险峻的,中,
multitude,n. 大量，众多,高,
fertile,a. 肥沃的，富饶的；能繁殖的,高,x
recipe,n. 菜谱；诀窍，方法,低,
immerse,vt. 使沉浸在；使陷入；使浸没,低,
Marxist,"a. 马克思主义的
n. 马克思主义者",低,
queer,a. 奇怪的，异常的；不舒服的；眩晕的,低,
owing,a. 欠的，未付的,高,
fling,vt. （用力地）扔，抛，丢,低,
divorce,vt./n. 离婚；分离,高,
discrepancy,n. 不同，矛盾,低,
observe,vt. 遵守，奉行；观察，注意到；庆祝,高,
commence,v. 开始，着手,低,
dismiss,vt. 解雇；解散；不予考虑,高,
pump,n. 泵,低,
lateral,a. 侧面的；旁边的,低,
counsel,"vt. 劝告，忠告，提供专业咨询
n. 劝告，忠告；法律顾问；辩护人",中,x
sneeze,"vi. 打喷嚏
n. 喷嚏",低,
raid,n. 袭击，侵袭,低,
agency,n. 代理（处），代办处；机构,高,
exchange,"vt. 交换，调换，更换
n. 交换，调换；兑换；交流，交易；交换台，交易所",高,
reckon,"vt. 认为，估计；计算，测算
vi. 指望；想要",高,?
abrupt,a. 突然的，意外的；唐突的，鲁莽的；不连贯的，支离破碎的,高,
ozone,n. 臭氧；新鲜空气,中,?
thrift,n. 节俭，节约,中,x
pine,n. 松树,低,
sauce,n. 酱汁，调味汁,低,
fable,n. 寓言,低,
ferry,"n. 渡船
vt. 渡运（人、车或物等）",低,
situated,a. 坐落在…的,低,
pharmacy,n. 药剂学；制药；药店,低,
profession,n. 职业，自由职业；公开表示,高,?
subordinate,"a. 次要的，从属的；下级的
n. 部属，下级",中,
bizarre,a. 奇异的，怪诞的,中,
layman,n. 普通信徒（有别于神职人员）；门外汉，外行,低,
porcelain,"n. 瓷器
a. 瓷的；瓷制的",低,
inaugurate,vt. 开始，开展；为…举行就职典礼，使正式就任；为…举行开幕式，为…举行落成仪式,低,
dock,"n. 船坞，码头
v. 停靠码头，进入船坞",中,
underlie,vt. 位于…之下；构成…的基础,高,?
prone,a. 平卧的，俯卧的；易于做…的，倾向于…的,中,
exceptional,a. 例外的；异常的,高,
unfold,v. 展开，打开；显露，展现,高,?
evaporate,v. （使）蒸发,低,
scatter,v. （使人或动物）散开，驱散,高,
vanity,n. 虚荣心，浮华,高,
scout,"n. 侦察员，侦察机（舰）
vi. 搜索，侦查",低,
eloquent,a. 雄辩的，有说服力的；动人的，意味深长的,低,
barber,n. 理发师,中,
scramble,"vi./n. 攀登，爬行；争夺，抢夺
vt. 扰乱，搞乱",低,
murmur,v./n. 小声说；小声抱怨；嘟哝,低,
radioactive,a. 放射性的，放射引起的,低,
torture,"vt. 拷问，拷打；折磨，磨难
n. 拷问，拷打；折磨，痛苦",低,
ore,n. 矿石，矿砂,低,
cooperative,"a. 合作的，协作的
n. 合作社",中,
flatter,vt. 奉承，使高兴,中,
credentials,n. 证明书；证件；（学历、资历）资格,低,
porch,n. 门廊,低,
pad,"n. 垫，衬垫；便签簿
vt. 填塞",低,
bully,"n. 恃强凌弱者
vt. 恐吓，欺负",低,
peninsula,n. 半岛,低,
shaft,n. 轴；杆状物,低,
uphold,vt. 支持，维护；维持；确认,低,
dividend,n. 红利，股息；回报，效益；被除数,中,
stem,"n. 茎，干；词干
vi. 出自，来源于，发生于",高,?
lorry,n. 卡车，运货汽车,低,
mourn,v. 哀悼，悲悼,中,
architect,n. 建筑师,中,
diversion,n. 转向，转移,高,
progressive,a. 进步的，先进的；前进的,高,
abandon,vt. 放弃，抛弃,高,?
gaze,n./vi. 凝视，注视,低,
heroine,n. 女英雄；女主角,低,
trait,n. 特征，特点，特性,高,
notion,n. 概念，意念；看法，想法，观点,高,
pave,vt. 铺砌，铺（路）,中,
unload,v. 卸（货），卸下,低,
buzz,"vi. 发出嗡嗡声；充满兴奋（或活动等）
n. 嗡嗡声；嘈杂的谈话声",低,
intercourse,n. 交往，往来,低,
shrug,v./n. 耸肩,低,
summon,vt. 召唤；召集；传讯，传唤；使出；鼓起（勇气），振作（精神）,中,?
tangle,"v. （使）缠结，（使）乱作一团
n. 乱糟糟的一堆；复杂的问题（或形势）；困惑，混乱",低,
forge,"vt. 锻造；伪造
vi. 稳步前进
n. 锻工车间；锻炉",中,?
pierce,vt. 刺穿，刺破,低,
crane,n. 起重机；鹤,低,
trifle,"n. 少量，少许；小事，琐事；微不足道的东西
vt. 嬉耍",中,x
gauge/gage,n. 标准尺寸，规格；量规，量表,低,
cling,vi. 黏住，依附；坚持,高,
deceive,vt. 欺骗，蒙蔽,中,
recollect,v. 回忆，追想,低,
ascertain,vt. 查明，弄清，确定,低,
electrician,n. 电气专家；电工,低,
commute,vi./n. 通勤,中,
zinc,n. 锌,低,
cease,n./v. 停止，终止,高,
dwarf,"n. 矮子，侏儒
a. 矮小的；发育不全的
vt. （由于对比）使显得矮小",中,
undesirable,a. 不受欢迎的，令人不快的,中,
formation,n. 形成；构成,高,
bloom,"n. 花（朵）；开花（期）
vi. 开花",低,
device,n. 装置，设备，仪器；手段；策略；诡计,高,?
reasonable,a. 合理的，有道理的；通情达理的；适度的,高,
bore,"v. 钻（孔），挖（洞），钻探；烦扰，使厌烦
n. 讨厌的人；麻烦事",高,
lung,n. 肺,高,
gum,n. 树胶；口香糖,中,
evacuate,vt. 疏散，撤出；使丧失，夺去，剥夺,低,
sophisticated,a. 尖端的，复杂的，先进的；老练的，老于世故的,低,
uproar,n. 骚动；喧嚣；鼎沸,低,
toll,"n. 过路费；伤亡人数，损失
vt. 征收（过路费）；（缓慢而有规律地）敲（钟）",高,
uneasy,a. 不安的，焦虑的；不稳定的；紧张的,高,
stroke,"n. 击，敲；报时的钟声；一击，一笔，一划；一次努力；中风；抚摸
vt. 抚摸",低,
sprinkle,vt. 洒，喷，淋,低,
alien,"n. 外侨；外星人
a. 外国的；相异的；不相容的",高,?
superiority,n. 优越性，优势,中,
bunch,n. 一串，一群，一帮，一伙,中,
fashion,"n. 流行式样；风尚，风气；样子，方式
vt. 使成形，制作，塑造",高,
benign,a. （肿瘤等）良性的，无危险的；慈祥的，善良的,低,
contempt,n. 轻蔑，藐视,高,
gasp,"n. 喘息，气喘
v. 喘息；气喘吁吁地说",低,
dew,n. 露水,低,
strain,"n. 过度的疲劳，紧张；张力，拉力
vt. 扭伤，拉伤；拉紧，扯紧
vi. 尽力；用力推；用力拉；过度使用，使不堪承受",高,x
conception,n. 概念，观念；设想，构想,高,
tuck,vt. 卷起；塞进,低,
antique,"a. 古时的，古老的
n. 古物，古董",中,
accordance,n. 一致，符合,中,
association,n. 协会，团体；联合；联系；交往；联想,高,
testify,v. 证明；证实,中,
prolong,vt. 拉长，延长,高,
hum,"v. 哼曲子；发嗡嗡声；忙碌；活跃，充满活力
n. 嗡嗡声，嘈杂声",中,x
redeem,vt. 赎回；挽回；救赎；兑换,低,
malignant,a. 恶毒的；恶性的；致命的,低,
coincide,vi. 和…一致，相符，相同,高,
spectator,n. 观众；旁观者,中,
fluid,"a. 流动的；液体的
n. 流体，液体",低,
fellowship,n. 伙伴关系；友谊；团体,低,
interim,"n. 间歇；过渡期间
a. 暂时的，临时的",低,
pail,n. 提桶,中,
conceal,vt. 隐藏，隐瞒，隐蔽,中,
nitrogen,n. 氮,中,
knob,n. 门把手；旋钮,低,
lawn,n. 草地，草坪,中,
protein,n. 蛋白质,中,
outrage,"n. 暴行，骇人听闻的事件；愤慨
vt. 激怒",中,
estate,n. 地产，房地产,中,
hypocrisy,n. 伪善，虚伪,中,
latent,a. 潜在的，潜伏的；不易察觉的,低,
mutual,a. 相互的，彼此的；共有的,高,
avail,"n. 效用，利益；帮助
v. 有益于，有助于；利用",中,
tide,n. 潮，潮汐；潮流，趋势,高,x
proceeding,n. 行动；进行；会议记录；学报,中,x
prospective,a. 未来的，预期的；可能的,低,
sneak,v. 偷偷地走，溜，潜行；偷偷地做（或拿、吃）,中,
scope,n. （活动）范围；机会；余地,高,?
bump,"v. 碰，撞；颠簸着前行
n. （无意的）碰，撞；隆起物",中,x
lure,"vt. 吸引，诱惑
n. 诱惑物；诱饵，鱼饵",中,
panorama,n. 概观，全景；综述,中,
conquest,n. 征服,低,
hinder,vt. 阻止，妨碍,高,
slipper,n. 便鞋，拖鞋,低,
equator,n. 赤道,中,
bait,"n. 鱼饵，诱饵
vt. 装饵于",中,x
remedy,"n. 药品；治疗措施，补救办法
vt. 治疗，医治；纠正，补救",高,?
weld,"vt. 焊接，锻接
n. 焊接，焊缝",中,
ethnic,a. 种族的，民族的,高,x
apt,a. 恰当的，适宜的；（习性）易于…的，有…倾向的,低,
deputy,"n. 代理人，代表
a. 副的；代理的",中,?
ditch,"n. 沟，渠，水沟
v. 摆脱；抛弃；丢弃",中,x
excessive,a. 过多的，过分的,高,x
engage,v. （使）从事于，（使）参加；（使）订婚；引起；吸引；聘用,高,?
elevate,vt. 抬起，升高,高,
copper,n. 铜；铜币；铜制器,低,
medium,"n. 中间；适中；媒介物，媒体；传导体
a. 中等的，适中的",高,
heighten,v. 提高，升高；加强,中,
stumble,"vi. 跌，绊；结结巴巴地说话
n. 跌，绊",高,?
cabin,n. 客舱，机舱；小（木）屋,中,
commonplace,a. 平凡的；陈腐的,低,
acrobat,n. 杂技演员,低,
audit,vt. 审计，核对；旁听,中,
chamber,n. 房间，室,中,x
obstruct,vt. 妨碍，阻止；阻塞，截断,低,
inhibit,vt. 阻止，妨碍，抑制,低,
exile,n./vt. 放逐，流放,低,
medieval,a. 中世纪的，中古的,中,
meadow,n. 草地；牧场,中,
kneel,vi. 跪，下跪,低,
bar,"n. 条，杆，棒，棍；酒吧；吧台；栅栏，障碍物；律师职业
vt. 拴上；阻拦，拦住；妨碍",高,
doctrine,n. 教条，主义，学说,中,
lodge,vt. 住宿，投宿，留宿,低,
gloomy,a. 阴沉的，阴暗的；令人沮丧的，抑郁的,高,x
generalize/generalise,v. 归纳，概括；推广，普及,低,
merchandise,n. 商品，货物,低,
grocer,n. 食品商，杂货铺,高,
refuge,n. 避难所，藏身处；庇护,低,
boast,"v. 自夸，夸耀
v. 自夸；大话",中,
swallow,"v. 吞，咽；相信，信以为真
n. 吞，咽；燕子",中,
streamline,a. 流线型的,中,
chew,v. 咀嚼；思量,低,
divert,vt. 使转向，使改道（或绕道）；转移，转移…的注意力；使娱乐，使消遣,高,?
widow,n. 寡妇,低,
weed,"n. 杂草，野草
v. 除草",高,
complementary,a. 补充的；辅助的,高,
adjacent,a. 邻近的，毗连的,低,
prevalent,a. 流行的，普遍的,中,
robe,n. 长袍，上衣,低,
salient,a. 显著的，突出的,低,
consolidate,v. 巩固，加强,高,
patrol,"v. 巡逻，巡查
n. 巡逻，巡查；巡逻兵，巡逻队",中,x
recede,vi. 退，退去；渐渐远去；向后倾斜，缩,低,
bald,a. 秃的，秃头的,低,
manifest,"vt. 表明，证明，显示
a. 明白的，明了的",高,?
channel,"n. 海峡，水道；信道，频道；途径，渠道
v. 引导；集中",高,?
zoom,"n. 嗡嗡声，隆隆声
vi. 急速移动；急升，猛涨",低,
inherent,a. 固有的，内在的，天生的,高,
dwell,vi. 居住,高,
hoist,vt. 举起，升起，吊起,低,
spouse,n. 配偶,高,
outset,n. 开始，开端,中,x
refrain,"vi. 抑制，克制；戒除
n. 反复句，（诗歌的）叠句；副歌",中,?
soluble,a. 可溶的,低,
reassure,vt. 使…安心；安慰,低,
sprout,"vi. 抽条，发芽
n. 芽，幼苗",低,
plot,"n. 密谋；小块土地；情节；图表
v. 密谋；策划；划分；绘制",高,
magistrate,n. 地方法官，治安官,低,
rebellion,n. 叛乱，反抗，起义,低,
adhere,vi. 黏附，胶着；坚持,高,
opt,vi. 选择，挑选,高,
dizzy,a. 头晕目眩的，眩晕的；使人头晕的；极高的,低,
accommodate,vt. 留宿，收容；供应，供给；调和；适应,高,?
hazard,"n. 危险；冒险；危害
vt. 冒险；拼命",高,
toxic,a. 有毒的；中毒的,高,
quench,vt. 熄灭，扑灭；解（渴）,低,
culprit,n. 罪犯；肇事者,低,
commonwealth,n. 共和国，联邦，共同体,低,
petty,a. 小的；琐碎的；气量小的,低,
peel,vt. 削皮，剥皮,低,
behalf,n. 利益,高,
bang,"n. 砰的一声；猛击，猛撞
v. 发出砰的一声；猛撞到某人（某物）；猛击",中,
deduct,vt. 扣除；演绎,中,?
procession,n. 队伍，行列,高,
spot,"n. 点；斑点，污点；地点，场所
v. 认出，认清，发现；玷污，弄脏；用点做记号",高,?
tutor,"n. 家庭教师，指导教师
vt. 个别指导",中,
chancellor,n. 大臣；总理；首席法官；大学校长,中,
wedge,"n. 楔，楔形
vt. 楔入；挤进",中,
reed,n. 芦苇；芦笛，牧笛,低,
strip,"vt. 剥，剥去
n. 窄条，带状物",中,?
arrogant,a. 傲慢的，自大的,中,
hip,n. 臀部，髋部,低,
statute,n. 法规，章程，规则,高,x
oriental,a. 东方的,低,
glitter,"n. 光辉，灿烂
vi. 闪耀",中,x
spoil,vt. 损坏，破坏；宠坏，溺爱,中,
bleed,vi. 出血，流血,低,
considerate,a. 考虑周到的，体谅的,高,
bolt,"n. 螺栓，插销
vt. 闩（门），关窗，拴住",低,
banquet,n. 宴会，盛宴,中,
aesthetic,a. 美学的，艺术的；审美的,低,
solitary,a. 单独的，独自的；单个的，唯一的；孤独的，隐居的,低,
kidney,n. 肾脏,低,
brittle,a. 易碎的；脆（弱）的,低,
scrutiny,n. 仔细观察，详细审查；监督,高,
pavement,n. 人行道,低,
indignant,a. 愤慨的，愤愤不平的,高,
blunt,"a. 率直的；钝的
vt. 使钝；使迟钝；使减弱",中,?
catastrophe,n. 突然起来的大灾难,低,
mechanic,n. 技工，机修工,低,
mingle,"vt. 使混合
vi. 相混合；相交往",低,
garlic,n. 大蒜，蒜头,低,
steward,n. 乘务员；管家,高,
sideways,"ad. 向旁边；侧身；横着；斜着
a. 向旁边的；侧身的；横着的；斜着的",中,
council,n. 理事会，委员会，议事机构,高,?
aggravate,vt. 使恶化，加重，加剧,中,
tumo(u)r,n. 肿瘤，肿块,低,
famine,n. 饥荒,低,
expansion,n. 扩张；膨胀；张开，伸展,高,
artery,n. 动脉；干线，要道,低,
outlet,n. 出路；出口；渠道；发泄方法，排遣；经销店；专营店,高,?
plague,"n. 瘟疫；祸患，灾害
v. 困扰；给…造成长期的痛苦",中,
dread,n./vt. 恐惧，担心,低,
handicap,"vt. 妨碍，使不利
n. （身体或智力方面的）缺陷，残疾；障碍，不利条件",中,
fleet,n. 舰队，船队,中,
renovate,vt. 更新，修复,中,
ponder,v. 思索，考虑，沉思,中,
perish,vi. 凋谢；丧生；毁灭，消亡,中,
molecule,n. 分子,中,
disgrace,"n. 失宠；耻辱
vt. 使失宠；玷污，使蒙羞",高,
welfare,n. 福利；安宁，幸福,高,
diameter,n. 直径,低,
brow,n. 眉头；额头,中,x
contemplate,vt. 盘算，预期；思量，对…周密考虑；注视，凝视,低,
spill,"v. 溢出，溅出
n. 摔下，跌下",中,?
fringe,"n. （窗帘等的）边缘
vt. 成为…的边缘",高,
craft,"n. 工艺，手艺；技巧；飞机；飞船；行业；小船，船
v. 精心制作",高,?
bleak,a. 荒凉的；没有希望的，冷酷的,高,
instantaneous,a. 瞬间的，即刻的,中,
incur,vt. 招致，惹起；遭受,中,
menace,"n. 威胁；危险的人（或物）
vt. 威胁",中,
margin,n. 页边空白，边缘；余地；幅度；差额，差距；利润，利润率,中,
concise,a. 简明的，简洁的,中,
monetary,a. 金融的，货币的,中,
nickel,n. 镍；镍币；五美分,低,
utmost,"a. 最远的；极度的，极端的
n. 极限，极度；最大可能",高,
successive,a. 接连的，连续的,中,?
specialise/specialize,vi. 专攻；专用于；专业化,高,
contemporary,a. 同时代的；现代的，当代的,高,
nostalgic,a. 怀旧的,低,
rod,n. 杆，棒,中,x
ribbon,n. 缎带，丝带；带，带状物,低,
humble,"a. 谦卑的，恭顺的；低下的，卑贱的；粗鄙的
vt. 降低；贬抑；压下…的锐气",高,?
savage,"a. 野蛮的，未开化的；凶恶的，残暴的
n. 未开化的人，野人",高,
grave,"n. 坟墓
a. 严肃的，庄重的",中,?
canoe,n. 独木舟，小游艇,低,
tedious,a. 乏味的，单调的，冗长的；使人厌烦的,中,
civil,a. 公民的，市民的；国内的，民间的；民用的；有礼貌的，文明的；文职的,高,
expenditure,n. 花费；（时间、金钱等的）支出，消耗,低,
rap,"vt. （轻而快地）敲击，急敲；责备，训斥
n. （轻快的）敲击（声），急敲（声）；说唱音乐",中,?
leaflet,n. 小叶，嫩叶；传单，活页,中,
trial,n. 审讯；试验；考验,高,
disperse,v. 分散，驱散，解散,高,
despatch/dispatch,"vt. 派遣；发送
n. （公文）急件，快信；新闻报道",低,
epidemic,"a. 流行性的；传染的
n. 流行病；（流行病的）传播",中,
gang,n. 一帮，一群，一伙,低,
knit,"v. 编织，编结；接合，黏合
n. 编织的衣服；针织衫",中,x
prick,"vt. 刺伤，刺痛；刺孔
n. 刺伤，刺痛",低,
soak,v. 吸收；浸泡，浸湿,中,
graze,"vt. 放牧（牛、羊等）；擦伤（皮肤等）；擦过，掠过
vi. （牛、羊等）吃青草
n. 擦伤（处）",低,
surge,"vi. （波涛等）汹涌，奔腾，波动；（人群等）蜂拥而出
n. （感情等的）洋溢，奔放；急剧上升，猛增；波涛般汹涌奔腾",低,
render,vt. 使得，致使；提出，提供，呈报,高,?
spectacle,n. 景象；奇观；眼镜,中,x
hedge,"n. 篱笆，树篱；障碍物
vt. 保护…以免；预防",低,
entail,vt. 牵涉；使成为必要；限定（地产）继承人,中,
grim,a. 讨厌的，糟糕的；严厉的，冷酷的,低,
prestige,n. 威信，威望,高,
courtesy,n. 谦恭有礼；有礼貌的举止（或言辞）,中,
spiritual,a. 精神的，心灵的,高,
relevant,a. 有关的，相应的；适当的；中肯的；实质性的；有重大意义的,高,?
shilling,n. 先令,低,
infant,n. 婴儿，幼儿,高,
cast,"vt. 投，扔，掷，抛；铸造；使产生怀疑
n. 演员表；全体演员",中,
warrant,"n. 正当理由；许可证；委任状；执行令；授权令
vt. 保证，担保",高,
syndrome,n. 综合征,低,
roundabout,"a. 迂回的，转弯抹角的
n. 环状交叉路",中,
clash,vi./n. 冲突，碰撞,中,
testimony,n. 证据；证词；表明，说明,低,
exaggerate,v. 夸张，夸大,高,
orthodox,a. 传统的，符合社会风俗的；正统的,低,
fixture,n. 固定，固定物,低,
divine,"a. 神的，神圣的；非凡的，超人的；神授的，天赐的；极好的，极美的
n. 牧师",低,
racket,n. 球拍,低,
uncover,vt. 揭开，揭露,中,
rake,"n. 耙子
vt. （用耙子）耙；搜索；探索",中,
continual,a. 不断的，连续的；频繁的,高,
attorney,n. 律师,高,?
anguish,"n. 极度痛苦
v. （使）极度痛苦",低,
wardrobe,n. 衣橱；（个人的）全部衣物,中,
range,"n. 范围；距离；领域；排列；连续；（山）脉；炉灶
vt. 排列成行
vi. 包括（从…到…）之间的各类事物",高,
metaphor,n. 隐喻，暗喻,低,
verdict,n. 裁定；判断；定论,中,
pebble,n. 卵石,低,
groan,vi./n. 呻吟,中,x
cruise,"vi. 航游，巡航；（出租车、船等）缓慢巡行
n. 航游",低,
intrinsic,a. 内在的，本质的；固有的,高,
facilitate,vt. 使变得（更）容易，使便利,中,
readily,ad. 容易地；乐意地，欣然地,高,
auxiliary,a. 辅助的，补助的,中,
stool,n. 凳子,低,
circus,n. 马戏团，杂技团,中,
outing,n. 远足，郊游，短途旅行,低,
momentum,n. 动力，冲力，势头；动量,低,
