单词,词性和解释,频率,偏意,状态
genre,n. （文学、音乐、艺术或电影的）体裁，类型,高,FALSE,
spectacular,"a. 壮观的；引人注目的
n. 壮观的演出",低,FALSE,
degenerate,vi. 衰退，堕落，蜕化,低,FALSE,
imitation,n. 模仿，仿效；仿制，仿造品,中,FALSE,
persevere,vi. 坚持,低,FALSE,
import,"vt. 进口，输入
n. 进口，输入；进口商品；要旨，含义；重要性",高,TRUE,
affection,n. 爱，慈爱；感情；影响,中,FALSE,
compromise,"vi./n. 妥协
vt. （尤指因行为很不明智）使陷入危险，使受到怀疑",高,TRUE,
underlying,a. 含蓄的；潜在的；根本的；在下面的,高,TRUE,
maiden,"n. 少女，未婚女子
a. 首次的，初次的",低,FALSE,
gasoline/gasolene,n. 汽油,低,FALSE,
auction,n./vt. 拍卖,低,FALSE,
state,"n. 状态，情况；国，州
vt. 陈述，说明；规定",高,TRUE,
pretext,n. 借口，托词,低,FALSE,
eligible,a. 有条件被选中的，有资格当选的；合格的,高,FALSE,
liquor,n. 酒，烈性酒,低,FALSE,
characteristic,"a. 特有的，独特的
n. 特征，特性",高,TRUE,
literally,ad. 照字面义；逐字地；确实地，真正地，实际地,高,TRUE,
frontier,n. 国境，边境；尖端，新领域,低,FALSE,
dusk,n. 薄暮，黄昏,低,FALSE,
garment,n. （一件）衣服,高,FALSE,
grope,vi. 暗中摸；探索，搜寻，搜索,低,FALSE,
thereafter,ad. 此后，以后,低,FALSE,
knot,"n. （绳）结；（树）节；群，簇；节（海里/小时）；难题，疙瘩
v. 打结",高,TRUE,
cordial,a. 诚恳的；亲切的；热忱的,低,FALSE,
stale,a. 变质的，不新鲜的；陈旧的，陈腐的,低,FALSE,
brim,n. 边缘；帽檐,低,FALSE,
certificate,n. 证书，证明；执照,中,TRUE,
spontaneous,a. 自发的，自然产生的,中,FALSE,
dilemma,n. （进退两难的）窘境，困境,高,FALSE,
rage,n. 愤怒；精神错乱,高,FALSE,
argue,"v. 争论，辩论
vt. 坚持，主张；说服，劝说",高,TRUE,
troop,n. 部队，军队；（一）群，（一）队,高,FALSE,
notwithstanding,prep./ad./conj. 尽管,高,FALSE,
oak,"n. 橡树，橡木
a. 橡木的",低,FALSE,
trim,"a. 整齐的，整洁的
vt./n. 整理，修整；装饰",低,FALSE,
rebel,"vi. 反抗，反叛，起义
n. 叛逆者，起义者",中,TRUE,
slum,n. 贫民区；陋巷,中,FALSE,
defy,vt. （公然）违抗，反抗；蔑视,中,FALSE,
asset,n. 资产，财产；优点，有用的东西,中,TRUE,
powder,n. 粉末；药粉；火药；炸药,低,TRUE,
proclaim,vt. 宣告，声明,高,FALSE,
setting,n. （太阳等）落山；（固定东西的）底座；环境，背景,高,TRUE,
supersonic,a. 超音速的，超音的,低,FALSE,
earnest,a. 热心的；诚挚的,高,FALSE,
damp,a. 有湿气的，潮湿的,中,FALSE,
subsequent,a. 随后的，后来的,高,FALSE,
hose,"n. 水龙管，软管
vt. 用软管（冲洗等）",低,FALSE,
stimulate,vt. 刺激，使兴奋；激励，鼓舞,高,FALSE,
competent,a. 有能力的，胜任的,中,FALSE,
republican,"a. 共和政体的；共和国的
n. 共和党人",高,FALSE,
excess,"a. 过量的，额外的
n. 过量，过剩",高,FALSE,
stain,"n. 污点，瑕疵
vt. 沾污，染污；玷污，败坏（名声）；染色",中,TRUE,
reduction,n. 减少，缩减,高,FALSE,
satire,n. 讽刺；讽刺作品,高,FALSE,
sew,vi. 缝，缝纫,中,FALSE,
suspicious,a. 可疑的；多疑的，疑心的,高,FALSE,
surgeon,n. 外科医生,高,FALSE,
ego,n. 自我；自负,低,FALSE,
temper,"n. 脾气，情绪；韧度；回火度
vt. 减缓；调和，调节",高,TRUE,
ebb,"vi. 退；退潮，落潮；衰退
n. 退潮，落潮",低,FALSE,
bow,"vi. 鞠躬；点头
n. 鞠躬；点头；弓（形）；蝴蝶结",高,FALSE,
correspondent,n. 记者；通讯员,低,FALSE,
corrode,v. （使）腐蚀，侵蚀,低,FALSE,
handy,a. 手边的；方便的,低,FALSE,
disposal,n. 处理，处置；布置，安排,低,FALSE,
refine,vt. 精炼；精制；提纯,低,FALSE,
liver,n. 肝，肝脏,低,FALSE,
shabby,a. 破旧的，破烂的；衣衫褴褛的；卑鄙的；不公正的,低,TRUE,
mortal,"a. 致命的；终有一死的；你死我活的，不共戴天的
n. 凡人",低,FALSE,
extinct,a. 灭绝的；熄灭了的,高,FALSE,
plumber,n. 水管工,低,FALSE,
quilt,n. 被子,低,FALSE,
preferable,a. 更可取的，更好的,高,FALSE,
lane,n. 小路，小巷；行车道,高,TRUE,
eject,vt. 喷射，排出；驱逐,低,FALSE,
calcium,n. 钙,低,FALSE,
shave,"vt. 刮，剃，刨，削
n. 刮脸",低,FALSE,
calorie,n. 卡路里，大卡,中,FALSE,
hypothesis,n. 假说，假设；前提,中,TRUE,
germ,n. 微生物；细菌,低,FALSE,
denounce,vt. 公开指责，抨击；告发某人,低,FALSE,
impact,n. 冲击，碰撞；效果；影响,高,TRUE,
invariable,a. 始终如一的，不变的；恒定的,低,FALSE,
tough,a. 棘手的，困难的；坚韧的；吃苦耐劳的；强健的,中,TRUE,
resort,"vi. 求助；诉诸；凭借
n. 胜地；常去之地；手段",高,FALSE,
depress,vt. 压抑；降低；削弱；使沮丧，使抑郁,中,TRUE,
tense,"n. 时态
a. 拉紧的；紧张的",低,TRUE,
bud,"n. 芽，花苞
vi. 发芽，萌芽",中,FALSE,
cloak,"n. 外套，斗篷
vt. 掩盖，蒙蔽",中,FALSE,
corridor,n. 走廊；狭长通道,低,FALSE,
tropical,a. 热带的,低,FALSE,
feast,n. 节日；宴会,低,TRUE,
belly,n. 肚子，腹部,低,FALSE,
vigorous,a. 有力的；朝气蓬勃的，精力旺盛的,中,FALSE,
despise,vt. 轻视，蔑视,低,FALSE,
slap,n./vt. 拍，掌掴,低,FALSE,
smash,v./n. 打碎，粉碎,低,FALSE,
marital,a. 婚姻的；夫妻的,低,FALSE,
verse,n. 韵文，诗；诗节，诗句,中,FALSE,
insulate,v. 隔离，孤立；使绝缘，使绝热,低,FALSE,
glow,"vi. 发热，发光，发红
n. 光亮；光辉",中,FALSE,
stationary,a. 静止的；固定的,中,FALSE,
prompt,"a. 敏捷的；迅速的；即刻的
vt. 激起；促进，推动",高,TRUE,
retire,vi. 退休，引退；退却，撤退；就寝,高,TRUE,
oath,n. 誓言，誓约；咒骂,低,FALSE,
repression,n. 压制，压抑，镇压,低,FALSE,
retain,vt. 保留；保持,高,TRUE,
henceforth,ad. 今后,低,FALSE,
peer,"n. 同龄人；同等地位的人；贵族
vi. 仔细看，费力地看",高,TRUE,
bargain,"n. 廉价货；交易；契约，合同
v. 议价；成交",高,TRUE,
probe,"n. 探针；探测器
v. 探查，穿刺；查究",中,FALSE,
relish,n. 滋味；兴趣，爱好；调味品；美味,低,FALSE,
harassment,n. 骚扰，扰乱；烦恼，烦乱,低,FALSE,
cylinder,n. 圆筒，圆柱体；气缸,低,FALSE,
versatile,a. 通用的，万用的；多才多艺的，多方面的,低,FALSE,
consecutive,a. 连续不断的，连贯的,低,FALSE,
contend,"vi. 竞争；斗争
vt. 坚决主张",高,FALSE,
blast,"n. 一阵（风），一股（气流）；爆炸冲击波；管乐声或汽笛声
v. 爆炸，爆破",低,FALSE,
stretch,"vt. 拉长
vi. 延伸
n. 一段时间；一段距离（或路程）；（空间上的）延伸，连绵；连绵的一片",中,TRUE,
obedient,a. 服从的，顺从的,中,FALSE,
hound,"n. 猎犬
vt. 追逼；烦扰，纠缠",低,FALSE,
flush,"v. 冲洗；使（水等）流；脸红
n. 脸红
a. 齐平的，同高的",低,TRUE,
shrink,v. 起皱；收缩；退缩，畏缩,高,TRUE,
intensive,a. 加强的；集中的；深入细致的,中,FALSE,
kettle,n. 水壶,低,FALSE,
nominal,a. 名义上的；（金额）微不足道的,低,FALSE,
consultant,n. 会诊医生，顾问医生；顾问,中,FALSE,
participate,vi. 参与，参加；分享，分担,高,TRUE,
puff,"n. 一口（气），一阵（风）
vi. 喘气；喷气",低,FALSE,
throne,n. 王位，君权,中,FALSE,
current,"n. 电流；水流；气流；潮流，趋势
a. 当前的，现在的；通用的，流行的",高,TRUE,
outfit,n. 全套装备；全套工具,低,FALSE,
crude,a. 天然的，未加工的；粗糙的；初步的，不成熟的；粗鲁的，粗野的,高,FALSE,
wholly,ad. 完全地，全部，一概,中,FALSE,
retrieve,vt. 重新得到，收回，取回；挽回（错误），补救；检索,中,TRUE,
screw,"n. 螺旋，螺丝钉
vt. 拧，拧紧",中,FALSE,
parcel,"n. 包裹，邮包
v. 打包，捆扎",中,FALSE,
rot,"v. （使）腐烂，（使）腐败，腐朽
n. 荒唐",中,FALSE,
tension,n. 张力；拉力；（精神上的）紧张,高,FALSE,
bond,n. 结合（物），黏结（剂），联结；公债，债券；契约,中,FALSE,
dissipate,v. （使）驱散；浪费，挥霍,低,FALSE,
composite,"n. 混合物，合成物
a. 合成的，复合的",低,FALSE,
turbine,n. 汽轮机，透平机，涡轮机,低,FALSE,
compose,"vt. 组成，构成
vi. 创作（音乐、文学作品等）",高,FALSE,
odo(u)r,n. 气味；名声,低,FALSE,
boost,"vt. 鼓励，促进；为…做广告，宣扬
n. 推动，促进",高,TRUE,
sly,a. 狡猾的；偷偷摸摸的,中,FALSE,
lump,"n. 团，块
vi. 结块，起小疙瘩
vt. 把…归并在一起",中,FALSE,
dwelling,n. 住宅，寓所,中,FALSE,
induce,vt. 引诱，劝使；引起，导致,中,TRUE,
rifle,n. 步枪,低,FALSE,
swarm,"n. 群，蜂群
vi. 云集；充满",中,FALSE,
installation,n. 安装，设置；设备；就职，就任,低,TRUE,
dignity,n. （举止、态度等的）庄严，端庄；尊严，高贵,高,TRUE,
lobby,n. 门廊，门厅；（会议）休息厅；游说,中,FALSE,
cereal,n. 谷物；谷类食品,低,FALSE,
endeavo(u)r,"vi. 努力，尽力；力图
n. 努力，尽力；力图；活动",高,FALSE,
coalition,n. 结合体，同盟；结合，联合,低,FALSE,
identity,n. 身份；个性，特性；同一（性）；相同，一致,中,TRUE,
instal(l)ment,n. 分期付款，分期交付；（连载的）一集；（分期付款的）一期,高,FALSE,
ward,"n. 病房；行政区；受监护人
v. 保护，守卫",中,FALSE,
compatible,a. 能和睦相处的，合得来的；兼容的,中,TRUE,
cement,"n. 水泥
vt. 黏合；巩固，加强",中,FALSE,
account,"n. 账目，账户；叙述，说明
vi. 说明，解释；（在数量、比例方面）占；导致，引起",高,TRUE,
suppress,vt. 镇压，压制；抑制，忍住；查禁，禁止发表,中,FALSE,
cohesive,a. 凝聚的；黏着的,低,FALSE,
assumption,n. 假定，设想；（责任的）承担；担任；（权力的）获得,高,TRUE,
governor,n. 总督，州（省）长，地方长官,中,FALSE,
hut,n. 小屋，棚屋,中,FALSE,
cushion,n. 垫子，坐垫,低,FALSE,
bowel,n. 肠；内部，深处,低,FALSE,
haul,v. （用力）拖，拉,低,FALSE,
magnitude,n. 大小，数量；巨大，广大；重要性，重要程度,高,FALSE,
pendulum,n. 摆；钟摆,低,FALSE,
abound,vi. 富于，大量存在；充满,高,FALSE,
retreat,vi./n. 撤退，退却,高,FALSE,
thrust,"v. 刺，戳，插入
n. 推力；刺，戳，插入",低,FALSE,
behave,vi. 举止，举动，表现；运转，开动,高,TRUE,
tan,"n. 黝黑
a. 棕褐色的
vi. 晒黑",低,FALSE,
dip,"vt. 浸，蘸
n. 浸，蘸；洗澡",低,FALSE,
bruise,"vt. 使…受挫伤；打青
n. 伤痕，擦痕，青肿",中,FALSE,
alongside,"prep. 在…旁边，横靠；与…并肩；与…一起，与…同时
ad. 并排地，并肩地",高,TRUE,
humiliate,vt. 使蒙羞，使丢脸,中,FALSE,
clause,n. （正式文件或法律文件的）条款；从句，分局,低,FALSE,
conspicuous,a. 显眼的；明显的,高,FALSE,
protest,v./n. 抗议，反对,中,FALSE,
straw,n. 稻草，麦秆；吸管,低,FALSE,
strife,n. 冲突，斗争，纷争；竞争,低,FALSE,
reconcile,vt. 使和好，调解，使调和；使一致,中,FALSE,
diplomatic,a. 外交的，从事外交的；有策略的，有手腕的,中,FALSE,
alleviate,vt. 减轻，缓解；缓和,中,FALSE,
stuff,"n. 原料，材料；东西
vt. 填满，塞满",高,TRUE,
empirical,a. 凭经验的，经验主义的,中,FALSE,
restrain,vt. 抑制，制止；约束（自己）；控制（自己）；忍住,中,FALSE,
mistress,n. 女主人，主妇；情妇，情人,低,FALSE,
sovereign,"n. 君主，元首；统治
a. 拥有最高统治权的，至高无上的；独立自主的，具有独立主权的",中,FALSE,
swing,"v. 摇摆，摇荡；回转，旋转
n. 秋千；摇摆，摆动",高,FALSE,
tame,"a. 驯服的，温顺的；沉闷的，乏味的
vt. 驯服，制服",中,FALSE,
heroic,a. 英雄的，英勇的,低,FALSE,
gallop,vi./n. 奔驰，飞跑,低,FALSE,
spine,n. 脊骨，脊柱，脊椎；（动植物的）刺，刺毛；书脊,低,FALSE,
prophet,n. 先知，预言家,低,FALSE,
illuminate,vt. 照亮，照明；阐明，说明,中,FALSE,
poke,"vt. （用棍棒、手指灯）戳，捅，拨；露出；伸出；探出
n. 戳，捅，拨",中,FALSE,
wholesome,a. 卫生的；健康的；有益健康的；有益的,低,FALSE,
essay,n. 文章，短文,高,FALSE,
incidentally,ad. 附带地，顺便提及,中,FALSE,
immense,a. 广大的，巨大的,中,FALSE,
tablet,n. 药片；碑，匾；平板,低,TRUE,
thesis,n. 论文；论题；论点,高,FALSE,
harbo(u)r,"n. 港口，海港；避难所，藏身处
vt. 庇护；收容；隐匿",高,TRUE,
thoughtful,a. 沉思的；体贴的；富有思想的，颇有创见的；深思熟虑的,高,TRUE,
patriotic,a. 爱国的,低,FALSE,
breeze,n. 微风，和风,低,FALSE,
dubious,a. 有问题的，靠不住的；无把握的；半信半疑的，可疑的；不能确定的,中,FALSE,
presumably,ad. 推测起来，大概,高,FALSE,
integral,a. 构成整体所必需的；完整的,低,FALSE,
slip,"vi. 滑，滑倒，滑落；溜走
n. 疏忽，小错，口误，笔误；纸片，纸条",高,TRUE,
emigrate,vi. 移居国外,高,FALSE,
succession,n. 连续，系列；继任，继承,低,FALSE,
radiate,v. 放射，辐射；散布，传播,中,TRUE,
influential,a. 有影响的，有权势的,高,FALSE,
repetition,n. 重复，反复,低,FALSE,
documentary,"a. 文献的
n. 纪录片",高,FALSE,
charter,"v. 租船，租车
n. 宪章；契约；特许状，许可证",高,FALSE,
govern,v. 统治，管理；支配；约束,高,TRUE,
sheer,a. 纯粹的；十足的，全然的；陡峭的，险峻的,中,FALSE,
multitude,n. 大量，众多,高,FALSE,
fertile,a. 肥沃的，富饶的；能繁殖的,高,FALSE,
recipe,n. 菜谱；诀窍，方法,低,TRUE,
immerse,vt. 使沉浸在；使陷入；使浸没,低,FALSE,
Marxist,"a. 马克思主义的
n. 马克思主义者",低,FALSE,
queer,a. 奇怪的，异常的；不舒服的；眩晕的,低,FALSE,
owing,a. 欠的，未付的,高,FALSE,
fling,vt. （用力地）扔，抛，丢,低,FALSE,
divorce,vt./n. 离婚；分离,高,FALSE,
discrepancy,n. 不同，矛盾,低,FALSE,
observe,vt. 遵守，奉行；观察，注意到；庆祝,高,TRUE,
commence,v. 开始，着手,低,FALSE,
dismiss,vt. 解雇；解散；不予考虑,高,TRUE,
pump,n. 泵,低,FALSE,
lateral,a. 侧面的；旁边的,低,FALSE,
counsel,"vt. 劝告，忠告，提供专业咨询
n. 劝告，忠告；法律顾问；辩护人",中,FALSE,
sneeze,"vi. 打喷嚏
n. 喷嚏",低,FALSE,
raid,n. 袭击，侵袭,低,FALSE,
agency,n. 代理（处），代办处；机构,高,FALSE,
exchange,"vt. 交换，调换，更换
n. 交换，调换；兑换；交流，交易；交换台，交易所",高,TRUE,
reckon,"vt. 认为，估计；计算，测算
vi. 指望；想要",高,FALSE,
abrupt,a. 突然的，意外的；唐突的，鲁莽的；不连贯的，支离破碎的,高,FALSE,
disrupt,vt. 使破裂；使分裂，使瓦解；扰乱；使中断,高,TRUE,
ozone,n. 臭氧；新鲜空气,中,FALSE,
thrift,n. 节俭，节约,中,FALSE,
pine,n. 松树,低,FALSE,
sauce,n. 酱汁，调味汁,低,FALSE,
fable,n. 寓言,低,FALSE,
ferry,"n. 渡船
vt. 渡运（人、车或物等）",低,FALSE,
situated,a. 坐落在…的,低,FALSE,
pharmacy,n. 药剂学；制药；药店,低,FALSE,
profession,n. 职业，自由职业；公开表示,高,TRUE,
subordinate,"a. 次要的，从属的；下级的
n. 部属，下级",中,FALSE,
bizarre,a. 奇异的，怪诞的,中,FALSE,
layman,n. 普通信徒（有别于神职人员）；门外汉，外行,低,FALSE,
porcelain,"n. 瓷器
a. 瓷的；瓷制的",低,FALSE,
inaugurate,vt. 开始，开展；为…举行就职典礼，使正式就任；为…举行开幕式，为…举行落成仪式,低,FALSE,
dock,"n. 船坞，码头
v. 停靠码头，进入船坞",中,TRUE,
underlie,vt. 位于…之下；构成…的基础,高,FALSE,
prone,a. 平卧的，俯卧的；易于做…的，倾向于…的,中,FALSE,
exceptional,a. 例外的；异常的,高,FALSE,
unfold,v. 展开，打开；显露，展现,高,TRUE,
evaporate,v. （使）蒸发,低,FALSE,
scatter,v. （使人或动物）散开，驱散,高,FALSE,
vanity,n. 虚荣心，浮华,高,FALSE,
scout,"n. 侦察员，侦察机（舰）
vi. 搜索，侦查",低,FALSE,
eloquent,a. 雄辩的，有说服力的；动人的，意味深长的,低,FALSE,
barber,n. 理发师,中,FALSE,
scramble,"vi./n. 攀登，爬行；争夺，抢夺
vt. 扰乱，搞乱",低,FALSE,
murmur,v./n. 小声说；小声抱怨；嘟哝,低,FALSE,
radioactive,a. 放射性的，放射引起的,低,FALSE,
torture,"vt. 拷问，拷打；折磨，磨难
n. 拷问，拷打；折磨，痛苦",低,FALSE,
ore,n. 矿石，矿砂,低,FALSE,
cooperative,"a. 合作的，协作的
n. 合作社",中,FALSE,
flatter,vt. 奉承，使高兴,中,FALSE,
credentials,n. 证明书；证件；（学历、资历）资格,低,FALSE,
porch,n. 门廊,低,FALSE,
pad,"n. 垫，衬垫；便签簿
vt. 填塞",低,FALSE,
bully,"n. 恃强凌弱者
vt. 恐吓，欺负",低,FALSE,
peninsula,n. 半岛,低,FALSE,
shaft,n. 轴；杆状物,低,FALSE,
uphold,vt. 支持，维护；维持；确认,低,FALSE,
dividend,n. 红利，股息；回报，效益；被除数,中,FALSE,
stem,"n. 茎，干；词干
vi. 出自，来源于，发生于",高,TRUE,
lorry,n. 卡车，运货汽车,低,FALSE,
mourn,v. 哀悼，悲悼,中,FALSE,
architect,n. 建筑师,中,FALSE,
diversion,n. 转向，转移,高,FALSE,
progressive,a. 进步的，先进的；前进的,高,FALSE,
abandon,vt. 放弃，抛弃,高,FALSE,
gaze,n./vi. 凝视，注视,低,FALSE,
heroine,n. 女英雄；女主角,低,FALSE,
trait,n. 特征，特点，特性,高,FALSE,
notion,n. 概念，意念；看法，想法，观点,高,FALSE,
pave,vt. 铺砌，铺（路）,中,FALSE,
unload,v. 卸（货），卸下,低,FALSE,
buzz,"vi. 发出嗡嗡声；充满兴奋（或活动等）
n. 嗡嗡声；嘈杂的谈话声",低,FALSE,
intercourse,n. 交往，往来,低,FALSE,
shrug,v./n. 耸肩,低,FALSE,
summon,vt. 召唤；召集；传讯，传唤；使出；鼓起（勇气），振作（精神）,中,FALSE,
tangle,"v. （使）缠结，（使）乱作一团
n. 乱糟糟的一堆；复杂的问题（或形势）；困惑，混乱",低,FALSE,
forge,"vt. 锻造；伪造
vi. 稳步前进
n. 锻工车间；锻炉",中,FALSE,
pierce,vt. 刺穿，刺破,低,FALSE,
crane,n. 起重机；鹤,低,FALSE,
trifle,"n. 少量，少许；小事，琐事；微不足道的东西
vt. 嬉耍",中,FALSE,
gauge/gage,n. 标准尺寸，规格；量规，量表,低,FALSE,
cling,vi. 黏住，依附；坚持,高,FALSE,
deceive,vt. 欺骗，蒙蔽,中,FALSE,
recollect,v. 回忆，追想,低,FALSE,
ascertain,vt. 查明，弄清，确定,低,FALSE,
electrician,n. 电气专家；电工,低,FALSE,
commute,vi./n. 通勤,中,FALSE,
discard,vt. 丢弃，抛弃,高,FALSE,
zinc,n. 锌,低,FALSE,
cease,n./v. 停止，终止,高,FALSE,
dwarf,"n. 矮子，侏儒
a. 矮小的；发育不全的
vt. （由于对比）使显得矮小",中,FALSE,
undesirable,a. 不受欢迎的，令人不快的,中,FALSE,
formation,n. 形成；构成,高,FALSE,
bloom,"n. 花（朵）；开花（期）
vi. 开花",低,FALSE,
device,n. 装置，设备，仪器；手段；策略；诡计,高,TRUE,
reasonable,a. 合理的，有道理的；通情达理的；适度的,高,TRUE,
bore,"v. 钻（孔），挖（洞），钻探；烦扰，使厌烦
n. 讨厌的人；麻烦事",高,FALSE,
lung,n. 肺,高,FALSE,
gum,n. 树胶；口香糖,中,FALSE,
evacuate,vt. 疏散，撤出；使丧失，夺去，剥夺,低,FALSE,
sophisticated,a. 尖端的，复杂的，先进的；老练的，老于世故的,低,TRUE,
uproar,n. 骚动；喧嚣；鼎沸,低,FALSE,
toll,"n. 过路费；伤亡人数，损失
vt. 征收（过路费）；（缓慢而有规律地）敲（钟）",高,FALSE,
uneasy,a. 不安的，焦虑的；不稳定的；紧张的,高,FALSE,
stroke,"n. 击，敲；报时的钟声；一击，一笔，一划；一次努力；中风；抚摸
vt. 抚摸",低,FALSE,
sprinkle,vt. 洒，喷，淋,低,FALSE,
alien,"n. 外侨；外星人
a. 外国的；相异的；不相容的",高,TRUE,
superiority,n. 优越性，优势,中,FALSE,
bunch,n. 一串，一群，一帮，一伙,中,FALSE,
fashion,"n. 流行式样；风尚，风气；样子，方式
vt. 使成形，制作，塑造",高,TRUE,
benign,a. （肿瘤等）良性的，无危险的；慈祥的，善良的,低,FALSE,
contempt,n. 轻蔑，藐视,高,FALSE,
gasp,"n. 喘息，气喘
v. 喘息；气喘吁吁地说",低,FALSE,
dew,n. 露水,低,FALSE,
strain,"n. 过度的疲劳，紧张；张力，拉力
vt. 扭伤，拉伤；拉紧，扯紧
vi. 尽力；用力推；用力拉；过度使用，使不堪承受",高,FALSE,
conception,n. 概念，观念；设想，构想,高,TRUE,
tuck,vt. 卷起；塞进,低,FALSE,
antique,"a. 古时的，古老的
n. 古物，古董",中,FALSE,
accordance,n. 一致，符合,中,FALSE,
association,n. 协会，团体；联合；联系；交往；联想,高,TRUE,
testify,v. 证明；证实,中,FALSE,
prolong,vt. 拉长，延长,高,FALSE,
hum,"v. 哼曲子；发嗡嗡声；忙碌；活跃，充满活力
n. 嗡嗡声，嘈杂声",中,FALSE,
redeem,vt. 赎回；挽回；救赎；兑换,低,TRUE,
malignant,a. 恶毒的；恶性的；致命的,低,FALSE,
coincide,vi. 和…一致，相符，相同,高,FALSE,
spectator,n. 观众；旁观者,中,FALSE,
fluid,"a. 流动的；液体的
n. 流体，液体",低,FALSE,
fellowship,n. 伙伴关系；友谊；团体,低,FALSE,
interim,"n. 间歇；过渡期间
a. 暂时的，临时的",低,FALSE,
pail,n. 提桶,中,FALSE,
conceal,vt. 隐藏，隐瞒，隐蔽,中,FALSE,
nitrogen,n. 氮,中,FALSE,
knob,n. 门把手；旋钮,低,FALSE,
lawn,n. 草地，草坪,中,FALSE,
protein,n. 蛋白质,中,FALSE,
outrage,"n. 暴行，骇人听闻的事件；愤慨
vt. 激怒",中,FALSE,
estate,n. 地产，房地产,中,FALSE,
hypocrisy,n. 伪善，虚伪,中,FALSE,
latent,a. 潜在的，潜伏的；不易察觉的,低,FALSE,
mutual,a. 相互的，彼此的；共有的,高,FALSE,
avail,"n. 效用，利益；帮助
v. 有益于，有助于；利用",中,FALSE,
tide,n. 潮，潮汐；潮流，趋势,高,FALSE,
proceeding,n. 行动；进行；会议记录；学报,中,FALSE,
prospective,a. 未来的，预期的；可能的,低,FALSE,
sneak,v. 偷偷地走，溜，潜行；偷偷地做（或拿、吃）,中,FALSE,
scope,n. （活动）范围；机会；余地,高,TRUE,
bump,"v. 碰，撞；颠簸着前行
n. （无意的）碰，撞；隆起物",中,FALSE,
lure,"vt. 吸引，诱惑
n. 诱惑物；诱饵，鱼饵",中,FALSE,
panorama,n. 概观，全景；综述,中,FALSE,
conquest,n. 征服,低,FALSE,
hinder,vt. 阻止，妨碍,高,FALSE,
slipper,n. 便鞋，拖鞋,低,FALSE,
equator,n. 赤道,中,FALSE,
bait,"n. 鱼饵，诱饵
vt. 装饵于",中,FALSE,
remedy,"n. 药品；治疗措施，补救办法
vt. 治疗，医治；纠正，补救",高,FALSE,
weld,"vt. 焊接，锻接
n. 焊接，焊缝",中,FALSE,
ethnic,a. 种族的，民族的,高,FALSE,
apt,a. 恰当的，适宜的；（习性）易于…的，有…倾向的,低,FALSE,
deputy,"n. 代理人，代表
a. 副的；代理的",中,FALSE,
ditch,"n. 沟，渠，水沟
v. 摆脱；抛弃；丢弃",中,FALSE,
excessive,a. 过多的，过分的,高,FALSE,
engage,v. （使）从事于，（使）参加；（使）订婚；引起；吸引；聘用,高,TRUE,
elevate,vt. 抬起，升高,高,FALSE,
copper,n. 铜；铜币；铜制器,低,FALSE,
medium,"n. 中间；适中；媒介物，媒体；传导体
a. 中等的，适中的",高,TRUE,
heighten,v. 提高，升高；加强,中,FALSE,
stumble,"vi. 跌，绊；结结巴巴地说话
n. 跌，绊",高,FALSE,
cabin,n. 客舱，机舱；小（木）屋,中,FALSE,
commonplace,a. 平凡的；陈腐的,低,FALSE,
acrobat,n. 杂技演员,低,FALSE,
audit,vt. 审计，核对；旁听,中,FALSE,
chamber,n. 房间，室,中,FALSE,
obstruct,vt. 妨碍，阻止；阻塞，截断,低,FALSE,
inhibit,vt. 阻止，妨碍，抑制,低,FALSE,
exile,n./vt. 放逐，流放,低,FALSE,
medieval,a. 中世纪的，中古的,中,FALSE,
meadow,n. 草地；牧场,中,FALSE,
kneel,vi. 跪，下跪,低,FALSE,
bar,"n. 条，杆，棒，棍；酒吧；吧台；栅栏，障碍物；律师职业
vt. 拴上；阻拦，拦住；妨碍",高,TRUE,
doctrine,n. 教条，主义，学说,中,FALSE,
lodge,vt. 住宿，投宿，留宿,低,FALSE,
gloomy,a. 阴沉的，阴暗的；令人沮丧的，抑郁的,高,FALSE,
generalize/generalise,v. 归纳，概括；推广，普及,低,FALSE,
merchandise,n. 商品，货物,低,FALSE,
grocer,n. 食品商，杂货铺,高,FALSE,
refuge,n. 避难所，藏身处；庇护,低,FALSE,
boast,"v. 自夸，夸耀
v. 自夸；大话",中,FALSE,
swallow,"v. 吞，咽；相信，信以为真
n. 吞，咽；燕子",中,TRUE,
streamline,a. 流线型的,中,FALSE,
chew,v. 咀嚼；思量,低,FALSE,
divert,vt. 使转向，使改道（或绕道）；转移，转移…的注意力；使娱乐，使消遣,高,FALSE,
widow,n. 寡妇,低,FALSE,
weed,"n. 杂草，野草
v. 除草",高,FALSE,
complementary,a. 补充的；辅助的,高,FALSE,
adjacent,a. 邻近的，毗连的,低,FALSE,
prevalent,a. 流行的，普遍的,中,FALSE,
robe,n. 长袍，上衣,低,FALSE,
salient,a. 显著的，突出的,低,FALSE,
consolidate,v. 巩固，加强,高,FALSE,
patrol,"v. 巡逻，巡查
n. 巡逻，巡查；巡逻兵，巡逻队",中,FALSE,
recede,vi. 退，退去；渐渐远去；向后倾斜，缩,低,FALSE,
bald,a. 秃的，秃头的,低,FALSE,
manifest,"vt. 表明，证明，显示
a. 明白的，明了的",高,FALSE,
channel,"n. 海峡，水道；信道，频道；途径，渠道
v. 引导；集中",高,TRUE,
zoom,"n. 嗡嗡声，隆隆声
vi. 急速移动；急升，猛涨",低,FALSE,
